title,price,availability,rating
a_light_in_the_attic,£51.77,In stock,Three
tipping_the_velvet,£53.74,In stock,One
soumission,£50.10,In stock,One
sharp_objects,£47.82,In stock,Four
sapiens:_a_brief_history_of_humankind,£54.23,In stock,Five
the_requiem_red,£22.65,In stock,One
the_dirty_little_secrets_of_getting_your_dream_job,£33.34,In stock,Four
"the_coming_woman:_a_novel_based_on_the_life_of_the_infamous_feminist,_victoria_woodhull",£17.93,In stock,Three
the_boys_in_the_boat:_nine_americans_and_their_epic_quest_for_gold_at_the_1936_berlin_olympics,£22.60,In stock,Four
the_black_maria,£52.15,In stock,One
"starving_hearts_triangular_trade_trilogy,_1",£13.99,In stock,Two
shakespeare's_sonnets,£20.66,In stock,Four
set_me_free,£17.46,In stock,Five
scott_pilgrim's_precious_little_life_scott_pilgrim_1,£52.29,In stock,Five
rip_it_up_and_start_again,£35.02,In stock,Five
"our_band_could_be_your_life:_scenes_from_the_american_indie_underground,_1981-1991",£57.25,In stock,Three
olio,£23.88,In stock,One
mesaerion:_the_best_science_fiction_stories_1800-1849,£37.59,In stock,One
libertarianism_for_beginners,£51.33,In stock,Two
it's_only_the_himalayas,£45.17,In stock,Two
in_her_wake,£12.84,In stock,One
how_music_works,£37.32,In stock,Two
"foolproof_preserving:_a_guide_to_small_batch_jams,_jellies,_pickles,_condiments,_and_more:_a_foolproof_guide_to_making_small_batch_jams,_jellies,_pickles,_condiments,_and_more",£30.52,In stock,Three
chase_me_paris_nights_2,£25.27,In stock,Five
black_dust,£34.53,In stock,Five
birdsong:_a_story_in_pictures,£54.64,In stock,Three
america's_cradle_of_quarterbacks:_western_pennsylvania's_football_factory_from_johnny_unitas_to_joe_montana,£22.50,In stock,Three
aladdin_and_his_wonderful_lamp,£53.13,In stock,Three
worlds_elsewhere:_journeys_around_shakespeare’s_globe,£40.30,In stock,Five
wall_and_piece,£44.18,In stock,Four
the_four_agreements:_a_practical_guide_to_personal_freedom,£17.66,In stock,Five
the_five_love_languages:_how_to_express_heartfelt_commitment_to_your_mate,£31.05,In stock,Three
the_elephant_tree,£23.82,In stock,Five
the_bear_and_the_piano,£36.89,In stock,One
sophie's_world,£15.94,In stock,Five
penny_maybe,£33.29,In stock,Three
maude_1883-1993:she_grew_up_with_the_country,£18.02,In stock,Two
"in_a_dark,_dark_wood",£19.63,In stock,One
behind_closed_doors,£52.22,In stock,Four
you_can't_bury_them_all:_poems,£33.63,In stock,Two
slow_states_of_collapse:_poems,£57.31,In stock,Three
reasons_to_stay_alive,£26.41,In stock,Two
private_paris_private_10,£47.61,In stock,Five
higherselfie:_wake_up_your_life_free_your_soul_find_your_tribe,£23.11,In stock,Five
without_borders_wanderlove_1,£45.07,In stock,Two
when_we_collided,£31.77,In stock,One
"we_love_you,_charlie_freeman",£50.27,In stock,Five
untitled_collection:_sabbath_poems_2014,£14.27,In stock,Four
"unseen_city:_the_majesty_of_pigeons,_the_discreet_charm_of_snails_&_other_wonders_of_the_urban_wilderness",£44.18,In stock,Four
unicorn_tracks,£18.78,In stock,Three
"unbound:_how_eight_technologies_made_us_human,_transformed_society,_and_brought_our_world_to_the_brink",£25.52,In stock,One
tsubasa:_world_chronicle_2_tsubasa_world_chronicle_2,£16.28,In stock,One
throwing_rocks_at_the_google_bus:_how_growth_became_the_enemy_of_prosperity,£31.12,In stock,Three
this_one_summer,£19.49,In stock,Four
thirst,£17.27,In stock,Five
the_torch_is_passed:_a_harding_family_story,£19.09,In stock,One
the_secret_of_dreadwillow_carse,£56.13,In stock,One
"the_pioneer_woman_cooks:_dinnertime:_comfort_classics,_freezer_food,_16-minute_meals,_and_other_delicious_ways_to_solve_supper!",£56.41,In stock,One
the_past_never_ends,£56.50,In stock,Four
the_natural_history_of_us_the_fine_art_of_pretending_2,£45.22,In stock,Three
